Order_ID,Customer_Name,Country,iPhone_Model,Storage,Color,Quantity,Price,Sale_Date,Payment_Method,Revenue,Month
1001,Customer_1,USA,iPhone 13,256GB,Purple,5,1817,5/1/2025,Debit Card,9085,May
1002,Customer_2,Canada,iPhone 12,256GB,Blue,1,998,3/5/2025,PayPal,998,March
1003,Customer_3,Canada,iPhone 15 Pro Max,512GB,Black,5,876,1/25/2025,Credit Card,4380,January
1004,Customer_4,USA,iPhone 15 Pro Max,512GB,Black,2,1290,3/24/2025,Debit Card,2580,March
1005,Customer_5,USA,iPhone 15,128GB,Blue,3,1092,2/1/2025,Debit Card,3276,February
1006,Customer_6,UAE,iPhone 14 Pro,256GB,Red,5,1939,2/15/2025,Debit Card,9695,February
1007,Customer_7,Germany,iPhone 14 Pro,512GB,Blue,1,1798,2/13/2025,Debit Card,1798,February
1008,Customer_8,UK,iPhone 15 Pro Max,128GB,Purple,3,1808,3/30/2025,Debit Card,5424,March
1009,Customer_9,UAE,iPhone 12,512GB,Purple,2,1381,3/6/2025,Debit Card,2762,March
1010,Customer_10,Pakistan,iPhone 14 Pro,128GB,Red,5,1670,2/25/2025,Debit Card,8350,February
1011,Customer_11,UK,iPhone 15 Pro Max,256GB,White,5,1857,1/28/2025,PayPal,9285,January
1012,Customer_12,USA,iPhone 14,128GB,Black,3,1572,3/25/2025,Cash,4716,March
1013,Customer_13,Germany,iPhone 12,512GB,Blue,3,1868,2/18/2025,PayPal,5604,February
1014,Customer_14,USA,iPhone 12,512GB,Black,3,1743,1/17/2025,Credit Card,5229,January
1015,Customer_15,UAE,iPhone 14 Pro,256GB,Blue,1,1544,1/27/2025,Credit Card,1544,January
1016,Customer_16,UAE,iPhone 12,128GB,Blue,4,1819,4/4/2025,Debit Card,7276,April
1017,Customer_17,Germany,iPhone 13,512GB,Red,5,1992,4/28/2025,PayPal,9960,April
1018,Customer_18,Canada,iPhone 14 Pro,256GB,Red,2,1003,4/4/2025,PayPal,2006,April
1019,Customer_19,UAE,iPhone 13,128GB,Purple,1,1010,3/15/2025,Debit Card,1010,March
1020,Customer_20,UAE,iPhone 15,256GB,Purple,3,1588,3/27/2025,Debit Card,4764,March
1021,Customer_21,Pakistan,iPhone 15,256GB,Red,3,742,3/12/2025,Cash,2226,March
1022,Customer_22,Pakistan,iPhone 15,128GB,Black,4,1627,3/22/2025,PayPal,6508,March
1023,Customer_23,USA,iPhone 15,128GB,Red,5,1964,4/19/2025,Cash,9820,April
1024,Customer_24,UK,iPhone 15,256GB,White,4,817,1/1/2025,Cash,3268,January
1025,Customer_25,UK,iPhone 15 Pro Max,128GB,Purple,5,1571,1/23/2025,Debit Card,7855,January
1026,Customer_26,UAE,iPhone 14,128GB,Red,3,1302,3/27/2025,Debit Card,3906,March
1027,Customer_27,USA,iPhone 13,256GB,White,5,1060,1/19/2025,Cash,5300,January
1028,Customer_28,UK,iPhone 13,128GB,Blue,4,1879,1/30/2025,Credit Card,7516,January
1029,Customer_29,Canada,iPhone 14 Pro,256GB,Red,3,1963,3/30/2025,Debit Card,5889,March
1030,Customer_30,Canada,iPhone 14,512GB,Blue,5,1673,1/19/2025,Debit Card,8365,January
1031,Customer_31,UAE,iPhone 13,256GB,Purple,5,1135,3/26/2025,Debit Card,5675,March
1032,Customer_32,USA,iPhone 15 Pro Max,128GB,Blue,5,1550,3/9/2025,PayPal,7750,March
1033,Customer_33,Canada,iPhone 14,128GB,Blue,5,1646,2/5/2025,PayPal,8230,February
1034,Customer_34,USA,iPhone 14 Pro,128GB,Red,4,1559,3/17/2025,Debit Card,6236,March
1035,Customer_35,Canada,iPhone 14 Pro,128GB,White,5,1793,1/2/2025,Cash,8965,January
1036,Customer_36,USA,iPhone 12,512GB,Blue,5,1030,4/2/2025,Credit Card,5150,April
